,,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,,,,,,
,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,,,,,
,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,,Adjustment,Adjustment,Adjustment,Weight,Weight
,2037," 12,491 "," 7,824 "," 21,971 "," 189,744 "," 162,621 "," 50,386 "," 1,000,000 ", -   ," 1,326 "," 10,125 "," 194,517 "," 124,219 "," 51,529 "," 1,000,000 ",2037, -   ," 21,484 "," (58,402)"," 498,907 "," 275,780 "," (111,662)"," 1,000,000 "," (57,516)"," (26,106)"," (54,533)"," 588,944 "," 285,025 "," (43,903)"," 1,000,000 ",22,, -   ,,,
,2038," 12,367 "," 7,222 "," 21,496 "," 188,579 "," 161,181 "," 48,733 "," 1,000,000 ", -   ," 1,105 "," 9,812 "," 193,301 "," 122,685 "," 50,194 "," 1,000,000 ",2038, -   ," 19,830 "," (60,108)"," 514,575 "," 282,868 "," (112,960)"," 1,000,000 "," (57,683)"," (28,688)"," (55,149)"," 606,155 "," 293,594 "," (41,080)"," 1,000,000 ",23,, -   ,,,
,2039," 12,249 "," 6,620 "," 21,054 "," 187,471 "," 159,815 "," 47,210 "," 1,000,000 ", -   , 921 ," 9,521 "," 192,143 "," 121,235 "," 48,948 "," 1,000,000 ",2039, -   ," 18,175 "," (61,741)"," 529,576 "," 289,655 "," (114,203)"," 1,000,000 "," (57,849)"," (31,271)"," (55,746)"," 622,625 "," 301,792 "," (38,385)"," 1,000,000 ",24,, -   ,,,
,2040," 12,136 "," 6,018 "," 20,642 "," 186,415 "," 158,515 "," 45,801 "," 1,000,000 ", -   , 768 ," 9,250 "," 191,040 "," 119,861 "," 47,781 "," 1,000,000 ",2040, -   ," 16,520 "," (63,308)"," 543,964 "," 296,164 "," (115,395)"," 1,000,000 "," (58,016)"," (33,854)"," (56,326)"," 638,416 "," 309,648 "," (35,807)"," 1,000,000 ",25,, -   ,,,
,2041," 12,029 "," 5,417 "," 20,257 "," 185,405 "," 157,276 "," 44,494 "," 1,000,000 ", -   , 640 ," 8,997 "," 189,985 "," 118,554 "," 46,687 "," 1,000,000 ",2041, -   ," 14,865 "," (64,813)"," 557,788 "," 302,418 "," (116,540)"," 1,000,000 "," (58,183)"," (36,437)"," (56,889)"," 653,581 "," 317,189 "," (33,336)"," 1,000,000 ",26,, -   ,,,
,2042," 11,927 "," 4,815 "," 19,895 "," 184,439 "," 156,093 "," 43,277 "," 1,000,000 ", -   , 533 ," 8,760 "," 188,976 "," 117,311 "," 45,658 "," 1,000,000 ",2042, -   ," 13,211 "," (66,261)"," 571,090 "," 308,436 "," (117,642)"," 1,000,000 "," (58,350)"," (39,020)"," (57,437)"," 668,168 "," 324,440 "," (30,965)"," 1,000,000 ",27,, -   ,,,
,2043," 11,830 "," 4,213 "," 19,556 "," 183,513 "," 154,962 "," 42,142 "," 1,000,000 ", -   , 445 ," 8,537 "," 188,009 "," 116,125 "," 44,687 "," 1,000,000 ",2043, -   ," 11,556 "," (67,657)"," 583,909 "," 314,236 "," (118,704)"," 1,000,000 "," (58,516)"," (41,603)"," (57,972)"," 682,218 "," 331,421 "," (28,686)"," 1,000,000 ",28,, -   ,,,
,2044," 11,737 "," 3,611 "," 19,236 "," 182,624 "," 153,878 "," 41,079 "," 1,000,000 ", -   , 371 ," 8,328 "," 187,080 "," 114,992 "," 43,770 "," 1,000,000 ",2044, -   ," 9,901 "," (69,004)"," 596,277 "," 319,831 "," (119,729)"," 1,000,000 "," (58,683)"," (44,186)"," (58,493)"," 695,769 "," 338,151 "," (26,493)"," 1,000,000 ",29,, -   ,,,
,2045," 11,647 "," 3,009 "," 18,934 "," 181,770 "," 152,838 "," 40,083 "," 1,000,000 ", -   , 309 ," 8,131 "," 186,187 "," 113,908 "," 42,902 "," 1,000,000 ",2045, -   ," 8,247 "," (70,305)"," 608,226 "," 325,237 "," (120,719)"," 1,000,000 "," (58,850)"," (46,769)"," (59,002)"," 708,854 "," 344,647 "," (24,379)"," 1,000,000 ",30,, -   ,,,
,2046," 11,561 "," 2,407 "," 18,648 "," 180,947 "," 151,839 "," 39,147 "," 1,000,000 ", -   , 257 ," 7,944 "," 185,328 "," 112,869 "," 42,079 "," 1,000,000 ",2046, -   ," 6,592 "," (71,563)"," 619,783 "," 330,466 "," (121,676)"," 1,000,000 "," (59,017)"," (49,352)"," (59,501)"," 721,506 "," 350,924 "," (22,341)"," 1,000,000 ",31,, -   ,,,
,2047," 11,479 "," 1,806 "," 18,378 "," 180,154 "," 150,878 "," 38,266 "," 1,000,000 ", -   , 215 ," 7,768 "," 184,499 "," 111,873 "," 41,297 "," 1,000,000 ",2047, -   ," 4,937 "," (72,782)"," 630,974 "," 335,529 "," (122,603)"," 1,000,000 "," (59,183)"," (51,935)"," (59,988)"," 733,750 "," 356,997 "," (20,373)"," 1,000,000 ",32,, -   ,,,
,2048," 11,400 "," 1,204 "," 18,120 "," 179,389 "," 149,952 "," 37,434 "," 1,000,000 ", -   , 179 ," 7,600 "," 183,700 "," 110,915 "," 40,553 "," 1,000,000 ",2048, -   ," 3,282 "," (73,963)"," 641,820 "," 340,436 "," (123,502)"," 1,000,000 "," (59,350)"," (54,518)"," (60,466)"," 745,612 "," 362,878 "," (18,470)"," 1,000,000 ",33,, -   ,,,
,2049," 11,323 ", 602 ," 17,876 "," 178,650 "," 149,059 "," 36,648 "," 1,000,000 ", -   , 149 ," 7,442 "," 182,928 "," 109,994 "," 39,845 "," 1,000,000 ",2049, -   ," 1,628 "," (75,109)"," 652,342 "," 345,196 "," (124,373)"," 1,000,000 "," (59,517)"," (57,101)"," (60,934)"," 757,115 "," 368,578 "," (16,629)"," 1,000,000 ",34,, -   ,,,
,2050," 16,464 ", -   , -   ," 164,919 "," 149,059 "," 16,464 "," 1,000,000 ", -   , -   , -   ," 126,263 "," 126,263 ", -   ," 1,000,000 ",2050, -   , -   ," (76,221)"," 662,559 "," 349,818 "," (125,220)"," 1,000,000 "," (59,683)"," (59,683)"," (61,394)"," 768,280 "," 374,109 "," -14,847 "," 1,000,000 ",35,, -   ,,,
